Commons_link,Kannada_Wikisource_link
https://commons.wikimedia.org/wiki/File:ಪದ್ಮಿನಿ .djvu,https://kn.wikisource.org/wiki/Index:ಪದ್ಮಿನಿ .djvu
https://commons.wikimedia.org/wiki/File:ಪದ್ಯಸಾರ - ದ್ವಿತೀಯ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ಪದ್ಯಸಾರ - ದ್ವಿತೀಯ ಭಾಗ.djvu
https://commons.wikimedia.org/wiki/File:ಪರಂತಪ ವಿಜಯ ೨.djvu,https://kn.wikisource.org/wiki/Index:ಪರಂತಪ ವಿಜಯ ೨.djvu
https://commons.wikimedia.org/wiki/File:ಪೂರ್ಣಕಲಾ.djvu,https://kn.wikisource.org/wiki/Index:ಪೂರ್ಣಕಲಾ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಗತಿ ಅಥವಾ ದಾಸ್ಯ ವಿಮೋಚನ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಗತಿ ಅಥವಾ ದಾಸ್ಯ ವಿಮೋಚನ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಜ್ಞಾ ಸ್ವಯಂವರಂ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಜ್ಞಾ ಸ್ವಯಂವರಂ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರತಾಪ ರುದ್ರದೇವ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರತಾಪ ರುದ್ರದೇವ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರತಾಪರುದ್ರದೇವ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರತಾಪರುದ್ರದೇವ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರಬಂಧಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರಬಂಧಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರೇಮ ಮಂದಿರ.djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರೇಮ ಮಂದಿರ.djvu
https://commons.wikimedia.org/wiki/File:ಪ್ರೇಮಚಂದ್ರ ರಾಜವಿಲಾಸ .djvu,https://kn.wikisource.org/wiki/Index:ಪ್ರೇಮಚಂದ್ರ ರಾಜವಿಲಾಸ .djvu
https://commons.wikimedia.org/wiki/File:ಬತ್ತೀಸಪುತ್ತಳಿ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ಬತ್ತೀಸಪುತ್ತಳಿ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ಬಾಳ ನಿಯಮ.djvu,https://kn.wikisource.org/wiki/Index:ಬಾಳ ನಿಯಮ.djvu
https://commons.wikimedia.org/wiki/File:ಬೃಹತ್ಕಥಾ ಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಬೃಹತ್ಕಥಾ ಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಭವತೀ ಕಾತ್ಯಾಯನೀ.djvu,https://kn.wikisource.org/wiki/Index:ಭವತೀ ಕಾತ್ಯಾಯನೀ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾರತ ಸಾಧ್ವೀಮಣಿಯರ ಇತಿಹಾಸ ಮಂಜರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾರತ ಸಾಧ್ವೀಮಣಿಯರ ಇತಿಹಾಸ ಮಂಜರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾರತೀಯರ ಇತಿಹಾಸ (ಪ್ರಾಚೀನ).djvu,https://kn.wikisource.org/wiki/Index:ಭಾರತೀಯರ ಇತಿಹಾಸ (ಪ್ರಾಚೀನ).djvu
https://commons.wikimedia.org/wiki/File:ಭಾವ ಚಿಂತಾರತ್ನಂ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾವ ಚಿಂತಾರತ್ನಂ.djvu
https://commons.wikimedia.org/wiki/File:ಭಾಷಾಮಯ ಧರ್ಮ ಸಿಂಧುಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ಭಾಷಾಮಯ ಧರ್ಮ ಸಿಂಧುಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಭೋಜಮಹರಾಯನ ಚರಿತ್ರೆ .djvu,https://kn.wikisource.org/wiki/Index:ಭೋಜಮಹರಾಯನ ಚರಿತ್ರೆ .djvu
https://commons.wikimedia.org/wiki/File:ಮಡಿ-ಮೈಲಿಗೆಯ ಗುಟ್ಟು.djvu,https://kn.wikisource.org/wiki/Index:ಮಡಿ-ಮೈಲಿಗೆಯ ಗುಟ್ಟು.djvu
https://commons.wikimedia.org/wiki/File:ಮನ್ಗಾರಸಕವಿ ಜಯನ್ರಾಪಕಾವ್ಯಾನ್.djvu,https://kn.wikisource.org/wiki/Index:ಮನ್ಗಾರಸಕವಿ ಜಯನ್ರಾಪಕಾವ್ಯಾನ್.djvu
https://commons.wikimedia.org/wiki/File:ಮರಾಠರ ಅವನತಿ ಅಥವಾ ದೈವಲೀಲೆ.djvu,https://kn.wikisource.org/wiki/Index:ಮರಾಠರ ಅವನತಿ ಅಥವಾ ದೈವಲೀಲೆ.djvu
https://commons.wikimedia.org/wiki/File:ಮಹರ್ಷಿ ಅರವಿಂದ ಘೋಷ್.djvu,https://kn.wikisource.org/wiki/Index:ಮಹರ್ಷಿ ಅರವಿಂದ ಘೋಷ್.djvu
https://commons.wikimedia.org/wiki/File:ಮಹಾಕವಿ ಕಮಲಭವ ವಿರಚಿತ ಶಾಂತಿಶ್ವರ ಪುರಾಣಂ.djvu,https://kn.wikisource.org/wiki/Index:ಮಹಾಕವಿ ಕಮಲಭವ ವಿರಚಿತ ಶಾಂತಿಶ್ವರ ಪುರಾಣಂ.djvu
https://commons.wikimedia.org/wiki/File:ಮಹಾಭಾರತ ಪೌಲೋಮ - ಆಸ್ತಿಕ ಪರ್ವ.djvu,https://kn.wikisource.org/wiki/Index:ಮಹಾಭಾರತ ಪೌಲೋಮ - ಆಸ್ತಿಕ ಪರ್ವ.djvu
https://commons.wikimedia.org/wiki/File:ಮಹಾರಾಣಾ ಪ್ರತಾಪ ಸಿಂಹ.djvu,https://kn.wikisource.org/wiki/Index:ಮಹಾರಾಣಾ ಪ್ರತಾಪ ಸಿಂಹ.djvu
https://commons.wikimedia.org/wiki/File:ಮಹಿರಾವಣನ ಕಾಳಗ.djvu,https://kn.wikisource.org/wiki/Index:ಮಹಿರಾವಣನ ಕಾಳಗ.djvu
https://commons.wikimedia.org/wiki/File:ಮಹಿಷೂರ ಮಹಾರಾಜ ಚರಿತ್ರಂ.djvu,https://kn.wikisource.org/wiki/Index:ಮಹಿಷೂರ ಮಹಾರಾಜ ಚರಿತ್ರಂ.djvu
https://commons.wikimedia.org/wiki/File:ಮಾಡಿದ್ದುಣ್ಣೋ ಮಹಾರಾಯ.djvu,https://kn.wikisource.org/wiki/Index:ಮಾಡಿದ್ದುಣ್ಣೋ ಮಹಾರಾಯ.djvu
https://commons.wikimedia.org/wiki/File:ಮಾತೃನಂದಿನಿ.djvu,https://kn.wikisource.org/wiki/Index:ಮಾತೃನಂದಿನಿ.djvu
https://commons.wikimedia.org/wiki/File:ಮಾಯಾವಿನಿಯ ಅತ್ಯಾಚಾರ ಮತ್ತು ಪರಿಣಾಮ.djvu,https://kn.wikisource.org/wiki/Index:ಮಾಯಾವಿನಿಯ ಅತ್ಯಾಚಾರ ಮತ್ತು ಪರಿಣಾಮ.djvu
https://commons.wikimedia.org/wiki/File:ಮಾಲತಿ.djvu,https://kn.wikisource.org/wiki/Index:ಮಾಲತಿ.djvu
https://commons.wikimedia.org/wiki/File:ಮಿತ್ರ ದುಖಃ.djvu,https://kn.wikisource.org/wiki/Index:ಮಿತ್ರ ದುಖಃ.djvu
https://commons.wikimedia.org/wiki/File:ಮೋಹನತರಂಗಿಣಿ ಎಂಬ ಶ್ರೀ ಕೃಷ್ಣ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಮೋಹನತರಂಗಿಣಿ ಎಂಬ ಶ್ರೀ ಕೃಷ್ಣ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಯುಗಳಾಂಗುರೀಯ.djvu,https://kn.wikisource.org/wiki/Index:ಯುಗಳಾಂಗುರೀಯ.djvu
https://commons.wikimedia.org/wiki/File:ರಘುಕುಲ ಚರಿತಂ ಭಾಗ ೧.djvu,https://kn.wikisource.org/wiki/Index:ರಘುಕುಲ ಚರಿತಂ ಭಾಗ ೧.djvu
https://commons.wikimedia.org/wiki/File:ರಘುಕುಲ ಚರಿತಂ.djvu,https://kn.wikisource.org/wiki/Index:ರಘುಕುಲ ಚರಿತಂ.djvu
https://commons.wikimedia.org/wiki/File:ರಜನೀ.djvu,https://kn.wikisource.org/wiki/Index:ರಜನೀ.djvu
https://commons.wikimedia.org/wiki/File:ರಮಾನಂದ.djvu,https://kn.wikisource.org/wiki/Index:ರಮಾನಂದ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಜಶೇಖರ ವಿಲಾಸಂ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಜಶೇಖರ ವಿಲಾಸಂ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಜಶ್ರೀ ಪರುಶುರಾಮರಾವ್ ಭಾವೂಸಾಹೇಬ ಪಟವರ್ಧನ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಜಶ್ರೀ ಪರುಶುರಾಮರಾವ್ ಭಾವೂಸಾಹೇಬ ಪಟವರ್ಧನ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಜಾರಾಮ ಮೋಹನರಾಯರ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಜಾರಾಮ ಮೋಹನರಾಯರ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಣಾ ರಾಜಾಸಿಂಹ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಣಾ ರಾಜಾಸಿಂಹ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಮಚಂದ್ರ ಚರಿತ ಪುರಾಣಂ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಮಚಂದ್ರ ಚರಿತ ಪುರಾಣಂ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಮರಾಜ್ಯ.djvu,https://kn.wikisource.org/wiki/Index:ರಾಮರಾಜ್ಯ.djvu
https://commons.wikimedia.org/wiki/File:ರಾಯಚೂರು ವಿಜಯ ಭಾಗ ೧ .djvu,https://kn.wikisource.org/wiki/Index:ರಾಯಚೂರು ವಿಜಯ ಭಾಗ ೧ .djvu
https://commons.wikimedia.org/wiki/File:ಲೀಲಾವತಿ ಪ್ರಬಂಧಂ.djvu,https://kn.wikisource.org/wiki/Index:ಲೀಲಾವತಿ ಪ್ರಬಂಧಂ.djvu
https://commons.wikimedia.org/wiki/File:ವಂಗವಿಜೇತ.djvu,https://kn.wikisource.org/wiki/Index:ವಂಗವಿಜೇತ.djvu
https://commons.wikimedia.org/wiki/File:ವತ್ಸರಾಜನ ಕಥೆ.djvu,https://kn.wikisource.org/wiki/Index:ವತ್ಸರಾಜನ ಕಥೆ.djvu
https://commons.wikimedia.org/wiki/File:ವರ್ಷವರ್ದಂತೀ ಶತಕಂ .djvu,https://kn.wikisource.org/wiki/Index:ವರ್ಷವರ್ದಂತೀ ಶತಕಂ .djvu
https://commons.wikimedia.org/wiki/File:ವಸಂತಮಿತ್ರ ವಿಜಯ ನಾಟಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ವಸಂತಮಿತ್ರ ವಿಜಯ ನಾಟಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ವಿಕ್ರಮೋರ್ವಶಿಯ ನಾಟಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ವಿಕ್ರಮೋರ್ವಶಿಯ ನಾಟಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ವಿದುರನೀತಿ ಮತ್ತು ನಾರದನೀತಿ.djvu,https://kn.wikisource.org/wiki/Index:ವಿದುರನೀತಿ ಮತ್ತು ನಾರದನೀತಿ.djvu
https://commons.wikimedia.org/wiki/File:ವಿದ್ಯಾರ್ಥಿ ಕರಭೂಷಣ.djvu,https://kn.wikisource.org/wiki/Index:ವಿದ್ಯಾರ್ಥಿ ಕರಭೂಷಣ.djvu
https://commons.wikimedia.org/wiki/File:ವೇಣೀಬಂಧನ.djvu,https://kn.wikisource.org/wiki/Index:ವೇಣೀಬಂಧನ.djvu
https://commons.wikimedia.org/wiki/File:ವೇಣೀಸಂಹಾರ ನಾಟಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ವೇಣೀಸಂಹಾರ ನಾಟಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ವೇದಾಂತ ವಿವೇಕಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ವೇದಾಂತ ವಿವೇಕಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಶಂಕರ ಕಥಾಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ಶಂಕರ ಕಥಾಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಶಕ್ತಿಮಾಯಿ.djvu,https://kn.wikisource.org/wiki/Index:ಶಕ್ತಿಮಾಯಿ.djvu
https://commons.wikimedia.org/wiki/File:ಶಾಕುಂತಲ ನಾಟಕ ನವೀನ ಟೀಕೆ.djvu,https://kn.wikisource.org/wiki/Index:ಶಾಕುಂತಲ ನಾಟಕ ನವೀನ ಟೀಕೆ.djvu
https://commons.wikimedia.org/wiki/File:ಶಿವಪ್ರಭುವಿನ ಪುಣ್ಯ ಗ್ರಂಥ.djvu,https://kn.wikisource.org/wiki/Index:ಶಿವಪ್ರಭುವಿನ ಪುಣ್ಯ ಗ್ರಂಥ.djvu
https://commons.wikimedia.org/wiki/File:ಶೂರಸೇನ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಶೂರಸೇನ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಶೇಷರಾಮಾಯಣಂ.djvu,https://kn.wikisource.org/wiki/Index:ಶೇಷರಾಮಾಯಣಂ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಕೃಷ್ಣ ಲೀಲೆ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಕೃಷ್ಣ ಲೀಲೆ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಗೀತಾ ಗೋಪಾಲಂ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಗೀತಾ ಗೋಪಾಲಂ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ತತ್ವಸಂಗ್ರಹ ರಾಮಾಯಣ ಅರಣ್ಯ ಕಾಂಡಂ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ತತ್ವಸಂಗ್ರಹ ರಾಮಾಯಣ ಅರಣ್ಯ ಕಾಂಡಂ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ತತ್ವಸಂಗ್ರಹ ರಾಮಾಯಣಂ ಬಾಲಕಾಂಡ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ತತ್ವಸಂಗ್ರಹ ರಾಮಾಯಣಂ ಬಾಲಕಾಂಡ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಭಾಗವತ ಮಹಾಪುರಾಣ ಚತುರ್ಥ ಸ್ಕಂದ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಭಾಗವತ ಮಹಾಪುರಾಣ ಚತುರ್ಥ ಸ್ಕಂದ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಮದಾನಂದ ರಾಮಾಯಣ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಮದಾನಂದ ರಾಮಾಯಣ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಮದ್ಗೀತಾರ್ಥ ಸಾರದ .djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಮದ್ಗೀತಾರ್ಥ ಸಾರದ .djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಮದ್ಬಾಗವತ ದಶಮ ಸ್ಕಂದವು ಭಾಗ ೬.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಮದ್ಬಾಗವತ ದಶಮ ಸ್ಕಂದವು ಭಾಗ ೬.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಲಕ್ಷ್ಮೀ ನೃಸಿಂಹ ಸ್ತೋತ್ರ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಲಕ್ಷ್ಮೀ ನೃಸಿಂಹ ಸ್ತೋತ್ರ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ವಿಚಾರ ದೀಪಿಕ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ವಿಚಾರ ದೀಪಿಕ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ವಿದ್ಯಾರಣ್ಯ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ವಿದ್ಯಾರಣ್ಯ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ವಿಷ್ಣು ಪುರಾಣ ಸಂಪುಟ ೧ .djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ವಿಷ್ಣು ಪುರಾಣ ಸಂಪುಟ ೧ .djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀ ಸಮರ್ಥ ರಾಮದಾಸ ಸ್ವಾಮಿಗಳ ಚರಿತ್ರಪು.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀ ಸಮರ್ಥ ರಾಮದಾಸ ಸ್ವಾಮಿಗಳ ಚರಿತ್ರಪು.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಕೃಷ್ಣಬೋಧಾಮೃತಸಾರ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಕೃಷ್ಣಬೋಧಾಮೃತಸಾರ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮತಿ ಪರಿಣಯಂ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮತಿ ಪರಿಣಯಂ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮತೀ ಪರಿಣಯ ನಾಟಕಂ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮತೀ ಪರಿಣಯ ನಾಟಕಂ.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ಭಾಗವತವು (ಏಕಾದಸ ದ್ವಾದಶ ಸ್ಕಂದಗಳು) .djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ಭಾಗವತವು (ಏಕಾದಸ ದ್ವಾದಶ ಸ್ಕಂದಗಳು) .djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ಭಾಗವತವು ದಶಮಸ್ಕಂದದ ಉತ್ತರಾರ್ಧವು.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ಭಾಗವತವು ದಶಮಸ್ಕಂದದ ಉತ್ತರಾರ್ಧವು.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ಭಾಗವತವು ಪ್ರಥಮ ದ್ವಿತೀಯ ಸ್ಕಂಧಗಳು.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ಭಾಗವತವು ಪ್ರಥಮ ದ್ವಿತೀಯ ಸ್ಕಂಧಗಳು.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ರಾಮಾಯಣವು ಅಯೋಧ್ಯಾಕಾಂಡವು .djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ರಾಮಾಯಣವು ಅಯೋಧ್ಯಾಕಾಂಡವು .djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ರಾಮಾಯಣವು ಯುದ್ಧಕಾಂಡವು.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ರಾಮಾಯಣವು ಯುದ್ಧಕಾಂಡವು.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀಮದ್ರಾಮಾಯನದವು ಕಿಷ್ಕಿಂದಾಖಾಂದವು.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀಮದ್ರಾಮಾಯನದವು ಕಿಷ್ಕಿಂದಾಖಾಂದವು.djvu
https://commons.wikimedia.org/wiki/File:ಶ್ರೀರಾಮಕೃಷ್ಣ ಪರಮಹಂಸರ ಚರಿತೆ.djvu,https://kn.wikisource.org/wiki/Index:ಶ್ರೀರಾಮಕೃಷ್ಣ ಪರಮಹಂಸರ ಚರಿತೆ.djvu
https://commons.wikimedia.org/wiki/File:ಸಂತಾಪಕ.djvu,https://kn.wikisource.org/wiki/Index:ಸಂತಾಪಕ.djvu
https://commons.wikimedia.org/wiki/File:ಸತ್ಯ ರಾಜ ಪೂರ್ವ ದೇಶ ಯಾತ್ರಗಳು ಪ್ರಥಮ ಭಾಗ.djvu,https://kn.wikisource.org/wiki/Index:ಸತ್ಯ ರಾಜ ಪೂರ್ವ ದೇಶ ಯಾತ್ರಗಳು ಪ್ರಥಮ ಭಾಗ.djvu
https://commons.wikimedia.org/wiki/File:ಸತ್ಯವತೀ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸತ್ಯವತೀ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಸಮತಿ ಮದನಕುಮಾರರ ಚರಿತ್ರ.djvu,https://kn.wikisource.org/wiki/Index:ಸಮತಿ ಮದನಕುಮಾರರ ಚರಿತ್ರ.djvu
https://commons.wikimedia.org/wiki/File:ಸಮಾಜರಹಸ್ಯ ದ್ವಿತೀಯ ಪುಷ್ಪ.djvu,https://kn.wikisource.org/wiki/Index:ಸಮಾಜರಹಸ್ಯ ದ್ವಿತೀಯ ಪುಷ್ಪ.djvu
https://commons.wikimedia.org/wiki/File:ಸಾವಿತ್ರಿಯ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸಾವಿತ್ರಿಯ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಸಾಹಿತ್ಯ ಪರಿಷತ್ ಪತ್ರಿಕೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸಾಹಿತ್ಯ ಪರಿಷತ್ ಪತ್ರಿಕೆ.djvu
https://commons.wikimedia.org/wiki/File:ಸಾಹಿತ್ಯ1924.djvu,https://kn.wikisource.org/wiki/Index:ಸಾಹಿತ್ಯ1924.djvu
https://commons.wikimedia.org/wiki/File:ಸೀತಾ ಚರಿತ್ರೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸೀತಾ ಚರಿತ್ರೆ.djvu
https://commons.wikimedia.org/wiki/File:ಸುವರ್ಣಸುಂದರಿ.djvu,https://kn.wikisource.org/wiki/Index:ಸುವರ್ಣಸುಂದರಿ.djvu
https://commons.wikimedia.org/wiki/File:ಸುಶೀಲೆ.djvu,https://kn.wikisource.org/wiki/Index:ಸುಶೀಲೆ.djvu
https://commons.wikimedia.org/wiki/File:ಹಗಲಿರುಳು.djvu,https://kn.wikisource.org/wiki/Index:ಹಗಲಿರುಳು.djvu
https://commons.wikimedia.org/wiki/File:ಹನುಮದ್ದ್ರಾಮಾಯಣಂ.djvu,https://kn.wikisource.org/wiki/Index:ಹನುಮದ್ದ್ರಾಮಾಯಣಂ.djvu
